File Name,k-eff_o,std_o,k-eff__m,std_m,k-eff_bench,std_bench,k_normalized,std_normalized,geometry,therm fiss,int fiss,fast fiss, above therm fiss, Avg E, Avg leth causing fiss
PU-SOL-THERM-018-003,1.00939,0.00012,1.00939,0.000120253,1,0.0032,1.00939,0.003232,Cylinder,91.67,7.21,1.11,8.33,23037.0,0.10848000000000001
U233-SOL-THERM-013-001,1.00506,0.00016,1.00506,0.000161159,0.9992,0.0073,1.00586,0.007350,Sphere,76.81,21.85,1.34,23.19,23144.0,0.15691
HEU-MET-FAST-078-003,0.99609,0.00010,0.996093,9.83573e-05,0.9994,0.0022,0.99668,0.002196,Cylinder,2.79,11.88,85.33,97.21,1333600.0,313810.0
HEU-MET-FAST-085-003,0.99615,0.00009,0.996145,9.00977e-05,0.9995,0.0046,0.99664,0.004587,Sphere,0.00,6.72,93.28,100.0,1345200.0,726470.0
PU-SOL-THERM-012-006,1.00659,0.00013,1.00659,0.000128235,1,0.0007,1.00659,0.000716,Rectangular,90.85,8.01,1.13,9.15,22209.0,0.13038999999999998
HEU-MET-FAST-084-012,0.99759,0.00009,0.997589,8.76471e-05,0.9994,0.002,0.99818,0.001999,Cylinder,0.00,5.93,94.07,100.0,1425300.0,791220.0
HEU-SOL-THERM-043-003,1.00093,0.00008,1.00093,7.90234e-05,0.999,0.0025,1.00193,0.002508,Sphere,97.98,1.87,0.15,2.02,2668.6000000000004,0.032185
HEU-MET-FAST-089,0.99987,0.00009,0.999875,8.81094e-05,0.9991,0.0014,1.00077,0.001405,Cylinder,0.00,5.80,94.20,100.0,1387500.0,770890.0
PU-SOL-THERM-001-001,1.00587,0.00013,1.00587,0.000126528,1,0.005,1.00587,0.005030,Sphere,94.29,5.03,0.68,5.71,12983.0,0.08651
HEU-SOL-THERM-050-004,1.00454,0.00015,1.00454,0.000151583,0.9987,0.0084,1.00584,0.008461,Cylinder,68.83,27.73,3.44,31.17,60467.0,0.6714600000000001
LEU-COMP-THERM-002-004,0.99874,0.00010,0.998744,0.000102829,0.9997,0.002,0.99903,0.002001,Lattice,90.40,5.79,3.81,9.6,109730.0,0.11449
PU-SOL-THERM-022-002,1.00210,0.00013,1.0021,0.000126358,1,0.0016,1.0021,0.001608,Cylinder,90.95,7.94,1.10,9.05,21529.0,0.12858999999999998
U233-MET-FAST-005-001,0.99605,0.00009,0.996052,8.92988e-05,1,0.003,0.99605,0.002989,Sphere,0.00,4.55,95.45,100.0,1606800.0,953710.0
PU-SOL-THERM-034-008,0.99902,0.00012,0.999016,0.000118578,1,0.0055,0.99902,0.005495,Cylinder,66.67,28.45,4.88,33.33,91708.0,1.5249
