File Name,k-eff_o,std_o,k-eff__m,std_m,k-eff_bench,std_bench,k_normalized,std_normalized,geometry,therm fiss,int fiss,fast fiss, above therm fiss, Avg E, Avg leth causing fiss
HEU-MET-FAST-058-004,1.00240,0.00009,1.0024,9.2681e-05,1,0.0021,1.0024,0.002107,Sphere,0.00,10.14,89.86,100.0,1286400.0,621920.0
PU-SOL-THERM-032-001,0.99033,0.00012,0.990328,0.000122414,1,0.002,0.99033,0.001984,Cylinder,94.26,5.07,0.66,5.74,12767.0,0.086186
HEU-MET-FAST-041-006,1.00543,0.00010,1.00543,0.000100603,1.0006,0.0045,1.00482,0.004520,Sphere,0.86,15.10,84.04,99.14,1220600.0,374710.0
LEU-COMP-THERM-006-004,1.01344,0.00010,1.01344,0.000102221,1,0.002,1.01344,0.002029,Lattice,86.85,7.45,5.70,13.15,165760.0,0.18206
HEU-SOL-THERM-006-010,0.99963,0.00013,0.999631,0.000127255,1,0.0065,0.99963,0.006498,Cylinder,76.81,21.12,2.07,23.19,35923.0,0.30122
PU-SOL-THERM-038-004,0.99608,0.00007,0.996084,6.91464e-05,1.0005,0.0013,0.99558,0.001295,Cylinder,98.33,1.48,0.18,1.67,3701.7,0.043105000000000004
HEU-SOL-THERM-049-020,1.00102,0.00012,1.00102,0.000121525,1.0012,0.0019,0.99982,0.001901,Cylinder,68.02,28.81,3.17,31.98,55474.0,0.65289
HEU-SOL-THERM-025-013,1.01636,0.00011,1.01636,0.000105458,1.0009,0.0047,1.01544,0.004769,Cylinder,89.14,10.01,0.85,10.86,14899.0,0.088115
U233-SOL-INTER-001-024,0.99167,0.00015,0.991666,0.000153744,1,0.0081,0.99167,0.008033,Sphere,44.56,51.23,4.22,55.44,67939.0,2.0067000000000004
U233-SOL-THERM-015-002,0.98500,0.00016,0.985001,0.000158951,1,0.007,0.985,0.006896,Sphere,50.16,46.33,3.51,49.84,56863.0,1.2459
U233-SOL-THERM-016-031,1.00927,0.00013,1.00927,0.000133931,0.999,0.0034,1.01028,0.003441,Cylinder,89.99,9.54,0.48,10.01,8235.599999999999,0.056602
HEU-SOL-THERM-028-018,0.99527,0.00014,0.995274,0.000136999,1,0.006,0.99527,0.005973,Cylinder,83.82,14.63,1.55,16.18,27327.0,0.15428
HEU-MET-FAST-079-004,1.00160,0.00009,1.0016,8.84151e-05,0.9996,0.0014,1.00200,0.001406,Cylinder,0.00,5.22,94.78,100.0,1424000.0,805410.0
HEU-MET-FAST-078-015,0.99703,0.00010,0.997028,0.000102972,0.9991,0.0018,0.99792,0.001800,Cylinder,10.20,14.00,75.80,89.8,1194500.0,72648.0
HEU-MET-FAST-084-004,0.99942,0.00009,0.999424,8.86365e-05,0.9994,0.002,1.00002,0.002003,Cylinder,0.00,5.81,94.19,100.0,1393600.0,772960.0
PU-SOL-THERM-012-010,0.99895,0.00010,0.99895,0.000101507,1,0.0043,0.99895,0.004296,Rectangular,97.09,2.59,0.32,2.91,6308.0,0.053409
U233-SOL-THERM-008,1.00046,0.00005,1.00046,5.36795e-05,1.0006,0.0029,0.99986,0.002898,Sphere,95.51,4.31,0.18,4.49,3113.2999999999997,0.036967999999999994
LEU-COMP-THERM-042-001,1.01199,0.00010,1.01199,9.75471e-05,1,0.0016,1.01199,0.001622,Lattice,87.24,7.26,5.50,12.76,160410.0,0.16901999999999998
HEU-MET-FAST-007-021,1.00061,0.00010,1.00061,0.000100517,0.9956,0.0018,1.00503,0.001819,Rectangular,1.18,26.30,72.52,98.82,1154300.0,170350.0
HEU-SOL-THERM-050-003,1.00543,0.00015,1.00543,0.00014677,0.9984,0.0079,1.00704,0.007969,Cylinder,56.16,38.45,5.39,43.84,93199.0,2.2228000000000003
HEU-MET-FAST-005-003,1.00208,0.00010,1.00208,0.000101744,0.9996,0.0036,1.00248,0.003611,Lattice,0.61,23.04,76.35,99.39,1027900.0,236160.0
HEU-SOL-THERM-049-001,0.99971,0.00014,0.999714,0.000139202,1.0012,0.0026,0.99851,0.002596,Cylinder,77.34,20.25,2.41,22.66,42315.0,0.30051
MIX-MET-FAST-002-003,1.00457,0.00010,1.00457,9.56739e-05,1,0.0048,1.00457,0.004822,Sphere,0.00,7.57,92.43,100.0,1617500.0,834660.0
HEU-MET-FAST-043-005,0.99961,0.00009,0.999605,8.59932e-05,0.9995,0.0015,1.00011,0.001503,Cylinder,0.00,5.13,94.87,100.0,1408400.0,797940.0
LEU-COMP-THERM-027-004,1.01724,0.00011,1.01724,0.000110477,1.0014,0.0015,1.01581,0.001525,Lattice,89.91,6.76,3.33,10.09,93225.0,0.11105000000000001
U233-SOL-INTER-001-005,0.98421,0.00015,0.984209,0.000151734,1,0.0082,0.98421,0.008071,Sphere,28.61,63.87,7.51,71.39,122820.0,9.2667
MIX-COMP-FAST-005,1.03342,0.00008,1.03342,7.51549e-05,0.9913,0.0023,1.04248,0.002419,Cylinder,0.01,38.60,61.39,99.99,893940.0,133980.0
IEU-MET-FAST-005,1.00076,0.00009,1.00076,8.79193e-05,1,0.0021,1.00076,0.002103,Sphere,0.00,9.66,90.34,100.0,1199000.0,577480.0
MIX-MET-FAST-003,1.00087,0.00009,1.00087,8.58313e-05,0.9993,0.0016,1.00157,0.001605,Sphere,0.00,3.09,96.91,100.0,1744400.0,1079600.0
HEU-MET-FAST-010-001,0.99909,0.00009,0.99909,8.90057e-05,0.9992,0.0015,0.99988,0.001503,Sphere,0.00,8.85,91.15,100.0,1333100.0,661880.0
HEU-SOL-THERM-009-002,1.00312,0.00013,1.00312,0.000132827,1,0.0039,1.00312,0.003914,Sphere,76.85,20.66,2.49,23.15,43166.0,0.31582
LEU-COMP-THERM-008-007,1.01506,0.00009,1.01506,9.47354e-05,1.0007,0.0012,1.01434,0.001220,Lattice,84.37,9.22,6.42,15.63,187870.0,0.24148999999999998
LEU-COMP-THERM-009-016,1.00600,0.00011,1.006,0.000106763,1,0.0021,1.006,0.002115,Lattice,90.33,5.92,3.75,9.67,107270.0,0.11527
HEU-MET-FAST-007-042,1.00690,0.00012,1.0069,0.000119509,1.0016,0.0009,1.00529,0.000911,Rectangular,29.17,41.27,29.55,70.83,497350.0,261.46999999999997
HEU-MET-FAST-003-006,1.00102,0.00009,1.00102,9.0793e-05,1,0.005,1.00102,0.005005,Sphere,0.00,8.61,91.39,100.0,1497400.0,743500.0
PU-SOL-THERM-010-009,1.00892,0.00012,1.00892,0.000124644,1,0.0048,1.00892,0.004844,Sphere,94.78,4.63,0.60,5.22,11442.0,0.080398
U233-SOL-THERM-013-007,1.00437,0.00016,1.00437,0.000160524,0.9992,0.0054,1.00517,0.005434,Sphere,77.34,21.36,1.30,22.66,22412.0,0.15062
PU-SOL-THERM-006-003,0.99568,0.00011,0.995685,0.000106909,1,0.0035,0.99568,0.003486,Sphere,97.16,2.54,0.30,2.84,5715.7,0.054777
HEU-SOL-THERM-038-017,0.99697,0.00014,0.996966,0.000138343,1,0.0026,0.99697,0.002595,Cylinder,74.49,23.05,2.46,25.51,41769.0,0.38047000000000003
HEU-MET-FAST-033-002,0.99936,0.00012,0.999365,0.00011703,0.9991,0.0014,1.00026,0.001406,Cylinder,19.14,40.03,40.82,80.86,671130.0,1686.7
HEU-MET-FAST-066-003,1.00500,0.00010,1.005,9.53689e-05,1.0023,0.0026,1.00269,0.002602,Sphere,0.00,13.68,86.32,100.0,1212200.0,521970.00000000006
HEU-SOL-THERM-025-009,1.00608,0.00011,1.00608,0.00011266,1.0002,0.0065,1.00587,0.006537,Cylinder,93.51,6.00,0.50,6.49,8726.9,0.055184
HEU-SOL-THERM-020-004,0.99948,0.00016,0.999482,0.000161008,0.9955,0.0078,1.00399,0.007868,Cylinder,84.81,14.79,0.39,15.19,5378.0,0.13524
LEU-COMP-THERM-010-014,1.01521,0.00011,1.01521,0.000111546,1,0.0028,1.01521,0.002844,Lattice,81.85,11.98,6.17,18.15,171250.0,0.30582000000000004
LEU-COMP-THERM-002-002,1.00701,0.00010,1.00701,0.000103821,0.9997,0.002,1.00731,0.002017,Lattice,90.38,5.89,3.73,9.62,106580.0,0.11455
PU-MET-FAST-044-002,1.00107,0.00010,1.00107,9.78669e-05,0.998,0.0022,1.00307,0.002213,Sphere,5.03,8.15,86.82,94.97,1649500.0,307920.0
PU-SOL-THERM-034-004,0.99733,0.00011,0.997331,0.000112201,1,0.0039,0.99733,0.003891,Cylinder,87.54,11.02,1.43,12.46,27703.0,0.22527999999999998
HEU-SOL-THERM-028-002,0.99857,0.00012,0.998574,0.000120901,1,0.0034,0.99857,0.003397,Cylinder,94.76,4.81,0.42,5.24,7450.6,0.047746000000000004
PU-MET-FAST-041,1.00485,0.00010,1.00485,0.000101823,1,0.0016,1.00485,0.001610,Sphere,0.00,5.36,94.64,100.0,1929900.0,1104300.0
U233-SOL-THERM-015-018,0.97333,0.00016,0.973328,0.000157061,1,0.0056,0.97333,0.005452,Sphere,54.48,42.24,3.28,45.52,54903.0,0.9015
LEU-COMP-THERM-028-016,1.00379,0.00009,1.00379,9.09284e-05,1,0.0049,1.00379,0.004919,Lattice,91.90,4.89,3.22,8.1,92431.0,0.09676799999999999
PU-MET-FAST-019,1.00064,0.00009,1.00064,9.22292e-05,0.9992,0.0015,1.00144,0.001506,Sphere,0.05,8.89,91.06,99.95,1623100.0,772590.0
HEU-MET-FAST-077-007,1.00128,0.00010,1.00128,9.60966e-05,0.9994,0.0056,1.00188,0.005614,Sphere,0.01,14.13,85.86,99.99,1208600.0,500050.0
HEU-MET-FAST-051-009,0.99565,0.00009,0.995651,8.62827e-05,0.9982,0.0002,0.99744,0.000217,Cylinder,0.00,4.61,95.39,100.0,1469000.0,842990.0
HEU-MET-FAST-015,0.99528,0.00009,0.995283,8.65181e-05,0.9996,0.0017,0.99567,0.001695,Cylinder,0.00,4.65,95.35,100.0,1467100.0,842100.0
MIX-MET-FAST-007-014,1.00868,0.00010,1.00868,0.000102328,1,0.0032,1.00868,0.003229,Sphere,2.07,14.90,83.02,97.93,1466200.0,328600.0
LEU-SOL-THERM-020-002,1.00217,0.00008,1.00217,7.93451e-05,0.9996,0.001,1.00257,0.001006,Cylinder,97.09,2.40,0.51,2.91,13738.0,0.03698
HEU-SOL-THERM-001-004,0.99931,0.00015,0.999315,0.0001501,1.0008,0.0053,0.99851,0.005290,Cylinder,77.49,20.26,2.25,22.51,39022.0,0.29158
LEU-COMP-THERM-028-006,1.01284,0.00011,1.01284,0.000106364,1.0001,0.0045,1.01273,0.004558,Lattice,83.50,10.95,5.55,16.5,155220.0,0.25098
PU-MET-FAST-009,1.00509,0.00009,1.00509,8.83571e-05,1,0.0027,1.00509,0.002715,Sphere,0.00,2.56,97.44,100.0,1796700.0,1142600.0
HEU-SOL-THERM-038-026,0.99808,0.00014,0.99808,0.000140557,1,0.0032,0.99808,0.003196,Cylinder,74.72,22.83,2.45,25.28,41461.0,0.37378
PU-SOL-THERM-004-010,0.99607,0.00012,0.996069,0.000115973,1,0.0047,0.99607,0.004682,Sphere,96.41,3.20,0.39,3.59,7395.299999999999,0.062523
HEU-MET-FAST-092-004,1.00435,0.00009,1.00435,8.89359e-05,0.9993,0.0013,1.00505,0.001310,Cylinder,0.00,5.74,94.26,100.0,1351200.0,745050.0
PU-SOL-THERM-005-001,0.99654,0.00011,0.996542,0.000109933,1,0.0047,0.99654,0.004685,Sphere,97.11,2.57,0.31,2.89,6007.0,0.055089
U233-SOL-THERM-015-008,0.97241,0.00016,0.972414,0.000156403,1,0.0067,0.97241,0.006517,Sphere,48.54,47.43,4.03,51.46,67414.0,1.4751
HEU-SOL-THERM-028-012,0.99318,0.00013,0.993181,0.00013144,1,0.0046,0.99318,0.004570,Cylinder,84.20,14.28,1.52,15.8,26565.0,0.14852
HEU-MET-MIXED-016-002,1.00040,0.00012,1.0004,0.000118088,0.9995,0.0007,1.00090,0.000710,Cylinder,41.16,33.10,25.74,58.84,440930.0,59.138999999999996
PU-MET-FAST-045-003,1.00232,0.00009,1.00232,9.10924e-05,1,0.0035,1.00232,0.003509,Cylinder,0.05,4.48,95.46,99.95,1632600.0,926370.0
PU-SOL-THERM-034-014,0.99435,0.00011,0.994348,0.000107101,1,0.0044,0.99435,0.004376,Cylinder,61.52,33.08,5.40,38.48,101920.0,2.4169
HEU-SOL-THERM-050-009,0.99785,0.00014,0.997851,0.000144048,0.9966,0.0082,1.00125,0.008239,Cylinder,56.01,38.53,5.46,43.99,94430.0,2.2645999999999997
LEU-COMP-THERM-009-027,1.00639,0.00010,1.00639,0.000104741,1,0.0021,1.00639,0.002116,Lattice,90.47,5.82,3.71,9.53,106180.0,0.11345999999999999
PU-MET-INTER-003,0.99943,0.00010,0.999432,0.000100344,0.9842,0.0016,1.01547,0.001653,Cylinder,0.00,46.31,53.69,100.0,889980.0,69844.0
LEU-COMP-THERM-010-025,1.01600,0.00011,1.016,0.000105746,1,0.0028,1.016,0.002846,Lattice,79.12,11.31,9.57,20.88,278200.0,0.53727
MIX-MET-FAST-007-004,1.00576,0.00010,1.00576,9.78438e-05,1,0.0028,1.00576,0.002817,Sphere,0.07,12.98,86.94,99.93,1401800.0,562780.0
LEU-SOL-THERM-021-003,0.99988,0.00008,0.999885,7.72802e-05,0.9989,0.0011,1.00098,0.001105,Cylinder,97.26,2.26,0.48,2.74,12996.0,0.036165
MIX-MET-FAST-009,1.00008,0.00008,1.00008,8.25625e-05,1,0.001,1.00008,0.001003,Sphere,0.00,2.49,97.51,100.0,1843600.0,1180500.0
LEU-COMP-THERM-022-003,1.01435,0.00011,1.01435,0.000113673,1,0.0036,1.01435,0.003653,Lattice,88.03,9.22,2.75,11.97,71662.0,0.12545
LEU-COMP-THERM-080-007,1.01162,0.00012,1.01162,0.000119048,0.9993,0.001,1.01232,0.001020,Lattice,77.11,16.67,6.22,22.89,164300.0,0.45444
U233-SOL-THERM-001-001,1.00034,0.00008,1.00034,7.9179e-05,1.0005,0.0031,0.99984,0.003098,Sphere,94.75,5.03,0.22,5.25,3764.7000000000003,0.039182
U233-SOL-THERM-015-029,0.99441,0.00015,0.99441,0.000145942,1,0.0051,0.99441,0.005073,Sphere,78.55,20.36,1.09,21.45,18034.0,0.13523
LEU-COMP-THERM-039-002,1.00986,0.00012,1.00986,0.000115568,1,0.0014,1.00986,0.001418,Lattice,84.63,10.26,5.11,15.37,141990.0,0.21225000000000002
HEU-MET-FAST-032-003,0.99877,0.00009,0.99877,8.73144e-05,1,0.0017,0.99877,0.001700,Sphere,0.00,5.72,94.28,100.0,1466900.0,799720.0
HEU-SOL-THERM-038-007,0.99828,0.00014,0.998284,0.000138657,1,0.0032,0.99828,0.003197,Cylinder,75.55,22.07,2.38,24.45,40431.0,0.34778000000000003
U233-SOL-THERM-012-006,1.00428,0.00014,1.00428,0.000138524,1,0.001,1.00428,0.001013,Sphere,85.72,13.52,0.76,14.28,13119.0,0.080076
U233-SOL-THERM-013-017,0.99492,0.00015,0.994915,0.000151864,0.9996,0.0052,0.99531,0.005179,Sphere,84.70,14.51,0.80,15.3,13803.0,0.08523399999999999
PU-SOL-THERM-007-002,1.00499,0.00013,1.00499,0.000131832,1,0.0047,1.00499,0.004725,Sphere,84.04,13.81,2.15,15.96,40946.0,0.27155999999999997
U233-MET-FAST-002-002,1.00059,0.00008,1.00059,8.46714e-05,1,0.0011,1.00059,0.001103,Sphere,0.00,3.22,96.78,100.0,1666100.0,1028100.0
PU-MET-FAST-028,0.99980,0.00009,0.999802,8.88296e-05,1,0.0022,0.9998,0.002201,Sphere,0.00,3.42,96.58,100.0,1710300.0,1053600.0
LEU-COMP-THERM-009-006,1.00566,0.00011,1.00566,0.000106041,1,0.0021,1.00566,0.002114,Lattice,90.41,5.86,3.73,9.59,106790.0,0.11434
HEU-MET-INTER-006-001,1.00215,0.00011,1.00215,0.000110041,0.9977,0.0008,1.00446,0.000812,Cylinder,1.25,72.77,25.98,98.75,326550.0,4407.0
HEU-MET-FAST-024,0.99939,0.00010,0.999385,0.000101898,0.999,0.0015,1.00039,0.001505,Sphere,11.27,12.53,76.20,88.73,1162700.0,65670.0
HEU-SOL-THERM-011-001,1.00710,0.00012,1.0071,0.000115237,1,0.0023,1.0071,0.002319,Sphere,96.30,3.40,0.29,3.7,5115.1,0.039955000000000004
HEU-MET-FAST-044-001,1.00082,0.00009,1.00082,8.54664e-05,0.9995,0.0019,1.00132,0.001905,Cylinder,0.00,4.74,95.26,100.0,1453200.0,831490.0
LEU-COMP-THERM-010-004,1.00333,0.00010,1.00333,0.000103194,1,0.0021,1.00333,0.002109,Lattice,90.59,5.73,3.68,9.41,105300.0,0.11198999999999999
LEU-COMP-THERM-011-015,1.00660,0.00009,1.0066,9.20472e-05,1.001,0.0018,1.00559,0.001810,Lattice,88.88,6.05,5.06,11.12,148610.0,0.14025
HEU-MET-FAST-057-006,0.99699,0.00009,0.996991,9.05444e-05,1,0.0029,0.99699,0.002892,Cylinder,0.00,5.65,94.35,100.0,1360100.0,759870.0
HEU-MET-FAST-067-002,0.99744,0.00008,0.99744,7.95376e-05,0.9938,0.0024,1.00366,0.002425,Cylinder,0.00,29.41,70.59,100.0,544430.0,218390.0
PU-SOL-THERM-022-004,0.99620,0.00012,0.996202,0.000117474,1,0.0017,0.9962,0.001697,Cylinder,95.16,4.29,0.55,4.84,10768.0,0.072826
HEU-SOL-THERM-042-005,1.00041,0.00004,1.00041,4.1191e-05,1,0.0034,1.00041,0.003401,Cylinder,98.38,1.51,0.11,1.62,2014.0000000000002,0.030949
PU-MET-FAST-013,1.00037,0.00009,1.00037,9.12574e-05,1.0034,0.0023,0.99698,0.002287,Cylinder,0.00,7.16,92.84,100.0,1502000.0,793730.0
HEU-MET-FAST-085-005,1.00097,0.00009,1.00097,8.6277e-05,0.9995,0.0024,1.00147,0.002406,Sphere,0.00,5.42,94.58,100.0,1401200.0,778330.0
HEU-MET-FAST-084-014,0.99920,0.00009,0.999198,8.719e-05,0.9994,0.0019,0.99979,0.001902,Cylinder,0.00,5.92,94.08,100.0,1343900.0,739390.0
HEU-MET-FAST-078-005,0.99703,0.00010,0.997031,0.000102149,0.9991,0.0019,0.99792,0.001900,Cylinder,7.96,13.60,78.44,92.04,1230900.0,109840.0
HEU-SOL-THERM-028-008,0.99991,0.00012,0.999912,0.000123125,1,0.0027,0.99991,0.002702,Cylinder,94.73,4.84,0.43,5.27,7497.0,0.047922
LEU-COMP-THERM-060-003,1.01088,0.00009,1.01088,9.15531e-05,1.0001,0,1.01077,9.154394,Lattice,91.21,5.10,3.69,8.79,104170.0,0.1021
U233-SOL-THERM-015-012,0.99325,0.00016,0.99325,0.000155216,1,0.0069,0.99325,0.006855,Sphere,56.07,41.09,2.84,43.93,46097.0,0.7703
U233-SOL-THERM-016-021,1.00789,0.00016,1.00789,0.000159929,1,0.0028,1.00789,0.002826,Cylinder,77.98,20.76,1.26,22.02,21685.0,0.14336000000000002
LEU-COMP-THERM-079-001,1.01176,0.00012,1.01176,0.00011547,0.9999,0.0016,1.01186,0.001623,Lattice,82.32,11.50,6.17,17.68,172260.0,0.29318
LEU-COMP-THERM-078-010,1.00725,0.00012,1.00725,0.000118533,0.9969,0.001,1.01038,0.001020,Lattice,80.88,13.88,5.23,19.12,139550.0,0.29818
PU-SOL-THERM-018-005,1.00219,0.00012,1.00219,0.000117087,1,0.003,1.00219,0.003008,Cylinder,93.58,5.58,0.84,6.42,17379.0,0.08441
LEU-COMP-THERM-035-002,1.01305,0.00011,1.01305,0.000106119,1,0.0019,1.01305,0.001927,Lattice,85.78,8.09,6.13,14.22,177640.0,0.20865
IEU-MET-FAST-015,1.00419,0.00008,1.00419,8.47632e-05,0.9956,0.0015,1.00862,0.001522,Sphere,0.00,19.09,80.91,100.0,1084100.0,415940.0
U233-SOL-INTER-001-015,0.97958,0.00015,0.979585,0.000154978,1,0.0075,0.97958,0.007348,Sphere,33.59,60.18,6.23,66.41,101110.0,5.4998000000000005
PU-SOL-THERM-028-001,1.00254,0.00012,1.00254,0.000124697,1,0.0012,1.00254,0.001209,Cylinder,92.96,6.23,0.82,7.04,15545.0,0.10431
LEU-COMP-THERM-005-006,1.02599,0.00011,1.02599,0.000112025,1,0.0042,1.02599,0.004310,Lattice,73.80,17.62,8.58,26.2,234530.0,0.76995
HEU-SOL-THERM-006-021,1.00245,0.00011,1.00245,0.000111366,1,0.0088,1.00245,0.008822,Cylinder,72.68,24.99,2.33,27.32,40511.0,0.4321
HEU-SOL-THERM-004-003,0.98420,0.00013,0.984202,0.000131466,1,0.0078,0.9842,0.007677,Sphere,51.53,45.64,2.83,48.47,38461.0,2.6367000000000003
HEU-MET-FAST-051-003,0.99574,0.00009,0.995736,8.59801e-05,0.9974,0.0005,0.99833,0.000507,Cylinder,0.00,4.65,95.35,100.0,1466700.0,840540.0
LEU-COMP-THERM-017-010,1.00751,0.00009,1.00751,9.22228e-05,1,0.0031,1.00751,0.003124,Lattice,91.19,4.85,3.96,8.81,116870.0,0.1009
HEU-SOL-THERM-049-011,0.99384,0.00014,0.993838,0.000143997,1.0012,0.0022,0.99264,0.002185,Cylinder,71.28,25.78,2.94,28.72,51463.0,0.51942
PU-SOL-THERM-032-011,0.99910,0.00010,0.999099,9.8991e-05,1,0.002,0.9991,0.002000,Cylinder,97.27,2.44,0.29,2.73,5640.2,0.053276
HEU-MET-FAST-091,1.00053,0.00011,1.00053,0.00010949,0.9996,0.0009,1.00093,0.000907,Cylinder,19.92,19.98,60.09,80.08,959260.0,8406.5
PU-SOL-THERM-003-004,0.99848,0.00012,0.998477,0.000117791,1,0.0047,0.99848,0.004694,Sphere,96.43,3.18,0.39,3.57,7500.7,0.062059
HEU-MET-FAST-094-001,1.00611,0.00010,1.00611,0.000102461,0.9994,0.0012,1.00671,0.001213,Cylinder,0.53,33.91,65.56,99.47,959950.0,170650.0
HEU-MET-FAST-025-002,1.00182,0.00009,1.00182,8.82601e-05,0.999,0.0016,1.00282,0.001608,Cylinder,0.00,4.94,95.06,100.0,1430900.0,812900.0
PU-SOL-THERM-010-003,1.00237,0.00012,1.00237,0.000121496,1,0.0048,1.00237,0.004812,Sphere,95.39,4.09,0.52,4.61,9973.8,0.073282
PU-MET-FAST-032,0.99872,0.00009,0.998716,8.87384e-05,1,0.002,0.99872,0.001999,Sphere,0.00,2.65,97.35,100.0,1812900.0,1162900.0
LEU-SOL-THERM-004-005,1.00501,0.00008,1.00501,8.19243e-05,0.9999,0.001,1.00511,0.001008,Cylinder,96.82,2.62,0.56,3.18,14865.0,0.038269
HEU-MET-FAST-066-009,1.00473,0.00011,1.00473,0.000105109,1.0027,0.0036,1.00202,0.003599,Sphere,0.23,27.80,71.97,99.77,983060.0,215160.0
HEU-SOL-THERM-025-003,0.99746,0.00011,0.997457,0.000107531,1.0002,0.0064,0.99726,0.006382,Cylinder,95.74,3.94,0.32,4.26,5666.799999999999,0.042726
HEU-MET-FAST-070-003,1.00884,0.00008,1.00884,8.17187e-05,1.0013,0.0013,1.00753,0.001310,Cylinder,2.17,44.58,53.25,97.83,437220.0,54796.0
LEU-COMP-THERM-006-014,1.00919,0.00010,1.00919,9.71182e-05,1,0.002,1.00919,0.002020,Lattice,90.40,5.22,4.38,9.6,128760.00000000001,0.11607
LEU-COMP-THERM-007-005,1.01006,0.00011,1.01006,0.000114138,1,0.0014,1.01006,0.001418,Lattice,82.75,11.59,5.67,17.25,156670.0,0.26357
HEU-SOL-THERM-006-001,0.98295,0.00014,0.98295,0.000143583,0.9973,0.005,0.98561,0.004943,Cylinder,80.93,17.23,1.84,19.07,32200.0,0.20745
PU-MET-FAST-016-006,1.00894,0.00011,1.00894,0.000113286,1,0.0032,1.00894,0.003230,Cylinder (array),24.72,11.85,63.43,75.28,1236800.0,7128.599999999999
LEU-COMP-THERM-007-004,1.00220,0.00009,1.0022,8.87485e-05,1,0.0008,1.0022,0.000806,Lattice,94.91,3.08,2.01,5.09,58154.0,0.061885
LEU-COMP-THERM-006-015,1.00913,0.00010,1.00913,9.98782e-05,1,0.002,1.00913,0.002020,Lattice,90.24,5.30,4.47,9.76,131250.0,0.1188
LEU-SOL-THERM-004-004,1.00516,0.00008,1.00516,8.39155e-05,0.9999,0.001,1.00526,0.001008,Cylinder,96.70,2.71,0.58,3.3,15465.0,0.038834999999999995
HEU-MET-FAST-066-008,1.00688,0.00011,1.00688,0.000109181,1.0039,0.004,1.00296,0.003997,Sphere,3.42,31.03,65.56,96.58,903100.0,86727.0
HEU-SOL-THERM-025-002,1.00284,0.00012,1.00284,0.000117221,1.0007,0.0025,1.00213,0.002506,Cylinder,96.13,3.57,0.30,3.87,5327.5,0.040653
HEU-MET-FAST-070-002,1.00390,0.00008,1.0039,8.45304e-05,0.9995,0.0013,1.00440,0.001309,Cylinder,1.63,41.16,57.21,98.37,463090.0,76643.0
PU-SOL-THERM-003-005,0.99937,0.00012,0.999374,0.000118257,1,0.0047,0.99937,0.004698,Sphere,96.18,3.40,0.42,3.82,7998.099999999999,0.06478300000000001
U233-SOL-THERM-016-001,1.00201,0.00016,1.00201,0.000158466,0.9987,0.0037,1.00331,0.003720,Cylinder,68.92,29.07,2.00,31.08,34583.0,0.29085
HEU-MET-FAST-025-003,1.00472,0.00009,1.00472,8.83634e-05,0.9991,0.0016,1.00562,0.001612,Cylinder,0.00,5.13,94.87,100.0,1409900.0,795390.0
HEU-MET-MIXED-020-002,1.00064,0.00012,1.00064,0.000118543,0.9991,0.0007,1.00154,0.000711,Cylinder,42.87,32.00,25.13,57.13,431350.0,48.931000000000004
PU-MET-FAST-033,0.99762,0.00010,0.997615,9.81042e-05,0.9967,0.0026,1.00092,0.002612,Cylinder,0.24,16.69,83.07,99.76,1147200.0,375920.0
PU-SOL-THERM-010-002,1.00879,0.00013,1.00879,0.000126961,1,0.0048,1.00879,0.004843,Sphere,94.12,5.20,0.68,5.88,13076.0,0.08826700000000001
