File Name,k-eff_o,std_o,k-eff__m,std_m,k-eff_bench,std_bench,k_normalized,std_normalized,geometry,therm fiss,int fiss,fast fiss, above therm fiss, Avg E, Avg leth causing fiss
PU-SOL-THERM-007-008,0.99291,0.00013,0.992906,0.000129294,1,0.0047,0.99291,0.004668,Sphere,92.16,6.89,0.96,7.84,18308.0,0.11362
HEU-MET-FAST-084-025,0.99793,0.00009,0.997927,8.79795e-05,0.9995,0.002,0.99842,0.001999,Cylinder,0.00,5.33,94.67,100.0,1393100.0,780890.0
PU-MET-FAST-022,0.99836,0.00008,0.99836,8.31488e-05,1,0.0021,0.99836,0.002098,Sphere,0.00,2.19,97.81,100.0,1894400.0,1236000.0
PU-SOL-THERM-010-013,1.01000,0.00012,1.01,0.000115198,1,0.0048,1.01,0.004849,Sphere,96.63,3.01,0.37,3.37,7055.6,0.06010399999999999
HEU-MET-MIXED-001,1.00147,0.00011,1.00147,0.000112223,0.9995,0.0013,1.00197,0.001308,Cylinder,22.58,30.65,46.77,77.42,748360.0,2010.8999999999999
LEU-COMP-THERM-039-008,1.00831,0.00011,1.00831,0.00011318,1,0.0012,1.00831,0.001215,Lattice,85.03,9.94,5.03,14.97,139990.0,0.20367
U233-SOL-THERM-017-001,1.00286,0.00015,1.00286,0.000146374,0.9997,0.0032,1.00316,0.003214,Cylinder,81.14,17.77,1.09,18.86,18731.0,0.11452999999999999
U233-SOL-THERM-016-010,1.00280,0.00017,1.0028,0.000165928,1,0.003,1.0028,0.003012,Cylinder,69.08,28.95,1.97,30.92,33962.0,0.28678
PU-SOL-THERM-002-005,1.00330,0.00013,1.0033,0.000127387,1,0.0047,1.0033,0.004717,Sphere,94.48,4.89,0.63,5.52,12005.0,0.083984
U233-SOL-THERM-015-023,0.99347,0.00016,0.993474,0.000156394,1,0.0055,0.99347,0.005466,Sphere,66.39,31.66,1.96,33.61,32167.0,0.34404
