File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
Pu-met-fast-011-2,1.00052,0.00033,11.81,9.95,78.24,88.19,1521900,82065
Pu-met-fast-011-3,1.00025,0.00034,11.79,9.92,78.29,88.21,1523400,82520
Pu-met-fast-011-1,0.99997,0.00033,11.76,9.96,78.28,88.24,1523000,82747
Pu-met-fast-011-4,1.00028,0.00034,11.79,9.93,78.28,88.21,1523200,82452
Pu-met-fast-011-5,1.00028,0.00034,11.79,9.93,78.28,88.21,1523200,82452
Pu-met-fast-011-6,1.00028,0.00034,11.79,9.93,78.28,88.21,1523200,82452
