File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
mix-comp-therm-002-case-pnl317,0.90652,0.00030,91.33,4.22,4.45,8.67,136070.0,0.14254999999999998
mix-comp-therm-002-case-pnl311,1.00179,0.00036,78.92,11.74,9.33,21.08,273440.0,0.7326600000000001
mix-comp-therm-002-case-pnl313,0.54729,0.00030,52.54,23.49,23.97,47.46,662270.0,23.427
mix-comp-therm-002-case-pnl315,1.09266,0.00033,84.05,8.79,7.16,15.95,212820.0,0.37786000000000003
mix-comp-therm-002-case-pnl314,0.76725,0.00034,66.68,18.19,15.13,33.32,430430.0,3.4383000000000004
mix-comp-therm-002-case-pnl316,1.10461,0.00033,88.40,6.17,5.43,11.6,164000.0,0.21162
mix-comp-therm-002-case-pnl312,0.32587,0.00020,28.22,25.74,46.04,71.78,1226400.0,1410.0
mix-comp-therm-002-case-pnl318,0.72026,0.00029,91.80,3.70,4.50,8.2,138450.0,0.13528
mix-comp-therm-002-case-pnl319,0.58959,0.00029,91.69,3.54,4.77,8.31,146900.0,0.13922
