File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-sol-therm-007-case-36-10,1.20787,0.00017,96.87,2.56,0.57,3.13,15285,0.036422
leu-sol-therm-007-case-36-5,0.98515,0.00028,96.66,2.72,0.62,3.34,16797,0.037326
leu-sol-therm-007-case-36-7,1.10084,0.00024,96.75,2.65,0.59,3.25,15916,0.036844
leu-sol-therm-007-case-36-4,0.86809,0.0003,96.51,2.82,0.67,3.49,17801,0.037951
leu-sol-therm-007-case-36-6,1.0586,0.00025,96.73,2.67,0.6,3.27,16136,0.036976
leu-sol-therm-007-case-36-9,1.1855,0.00019,96.84,2.59,0.57,3.16,15443,0.036516
leu-sol-therm-007-case-36-8,1.14821,0.0002,96.82,2.6,0.58,3.18,15613,0.036631
