File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
Pu-met-fast-011-1,1.01383,0.00033,13.84,9.77,76.39,86.16,1486500,58186
Pu-met-fast-011-2,1.01354,0.00033,13.81,9.76,76.43,86.19,1485900,58526
Pu-met-fast-011-3,1.01343,0.00034,13.81,9.78,76.41,86.19,1486200,58467
Pu-met-fast-011-4,1.01369,0.00035,13.82,9.76,76.42,86.18,1486600,58450
Pu-met-fast-011-5,1.01369,0.00035,13.82,9.76,76.42,86.18,1486600,58450
Pu-met-fast-011-6,1.01369,0.00035,13.82,9.76,76.42,86.18,1486600,58450
