File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-comp-therm-008-case-8_r2,0.60122,0.00026,46.93,29.62,23.45,53.07,629400,29.024
leu-comp-therm-008-case-8_r3,0.76037,0.0003,61.63,22.75,15.62,38.37,435640,3.8097
leu-comp-therm-008-case-8_r4,0.90905,0.0003,74.85,14.88,10.26,25.15,295110,0.73689
leu-comp-therm-008-case-8_r10,0.39797,0.00021,92.26,3.16,4.58,7.74,139450,0.093092
leu-comp-therm-008-case-8_r5,0.99062,0.00032,84.32,9.01,6.67,15.68,196230,0.2289
leu-comp-therm-008-case-8_r6,0.97772,0.00028,87.86,6.79,5.35,12.14,159560,0.14754
leu-comp-therm-008-case-8_r8,0.65022,0.00026,92.44,3.65,3.91,7.56,119130,0.085921
leu-comp-therm-008-case-8_r7,0.93462,0.00027,89.65,5.65,4.7,10.35,141260,0.11811
leu-comp-therm-008-case-8_r9,0.49652,0.00024,92.54,3.3,4.16,7.46,126760,0.08725
