File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
mix-comp-therm-002-case-pnl314,0.78177,0.00035,67.72,17.51,14.77,32.28,419950,2.7817
mix-comp-therm-002-case-pnl311,1.00994,0.00034,79.34,11.44,9.22,20.66,269550,0.63166
mix-comp-therm-002-case-pnl312,0.32576,0.0002,28.12,25.7,46.18,71.88,1230400,1403
mix-comp-therm-002-case-pnl313,0.56182,0.0003,54.3,22.51,23.18,45.7,640330,17.674
mix-comp-therm-002-case-pnl317,0.95723,0.00029,91.84,3.96,4.2,8.16,128440,0.12116
mix-comp-therm-002-case-pnl318,0.78467,0.00029,92.55,3.33,4.12,7.45,126470,0.11126
mix-comp-therm-002-case-pnl315,1.10164,0.00031,84.37,8.56,7.07,15.63,210140,0.32971
mix-comp-therm-002-case-pnl316,1.12401,0.0003,88.74,5.96,5.3,11.26,160360,0.18437
mix-comp-therm-002-case-pnl319,0.65442,0.00029,92.57,3.14,4.3,7.43,132190,0.11202
