File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-sol-therm-007-case-36-4,0.88806,0.0003,96.51,2.84,0.65,3.49,17476,0.039411
leu-sol-therm-007-case-36-6,1.06765,0.00025,96.69,2.72,0.6,3.31,16084,0.038577
leu-sol-therm-007-case-36-10,1.20659,0.00016,96.82,2.62,0.57,3.18,15313,0.038012
leu-sol-therm-007-case-36-7,1.10749,0.00024,96.74,2.68,0.59,3.26,15849,0.038361
leu-sol-therm-007-case-36-5,0.99895,0.00029,96.64,2.74,0.61,3.36,16441,0.038768
leu-sol-therm-007-case-36-9,1.18669,0.00019,96.79,2.64,0.57,3.21,15373,0.038086
leu-sol-therm-007-case-36-8,1.1517,0.00022,96.78,2.65,0.58,3.22,15579,0.038202
