File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-comp-therm-008-case-8_r10,0.36084,0.00022,91.4,3.57,5.03,8.6,153240,0.11159
leu-comp-therm-008-case-8_r3,0.75041,0.0003,60.47,23.59,15.94,39.53,444390,4.6259
leu-comp-therm-008-case-8_r2,0.58382,0.00025,44.16,31.34,24.51,55.84,657390,42.3
leu-comp-therm-008-case-8_r4,0.90667,0.00032,74.42,15.26,10.32,25.58,296560,0.83078
leu-comp-therm-008-case-8_r5,0.99107,0.00031,84.1,9.23,6.67,15.9,196620,0.25059
leu-comp-therm-008-case-8_r7,0.92437,0.00028,89.43,5.81,4.76,10.57,142770,0.12962
leu-comp-therm-008-case-8_r6,0.973,0.00029,87.67,6.96,5.37,12.33,160100,0.16085
leu-comp-therm-008-case-8_r8,0.613,0.00024,91.91,3.93,4.16,8.09,126710,0.098283
leu-comp-therm-008-case-8_r9,0.45597,0.00022,91.83,3.65,4.53,8.17,137790,0.10246
