File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
Leu-comp-therm-case-1-1r,0.61283,0.00027,40.68,34.14,25.18,59.32,670660.0,61.111999999999995
Leu-comp-therm-case-1-6r,0.34494,0.00021,89.12,4.84,6.04,10.88,183980.0,0.15221
Leu-comp-therm-case-1-2r,0.97921,0.00031,74.23,15.59,10.18,25.77,292110.0,0.84338
Leu-comp-therm-case-1-3r,0.99269,0.00030,83.08,9.90,7.02,16.92,207030.0,0.28648
Leu-comp-therm-case-1-4r,0.74896,0.00027,88.50,6.22,5.28,11.5,159220.0,0.14931999999999998
Leu-comp-therm-case-1-7r,0.26860,0.00019,88.38,4.81,6.81,11.62,207510.0,0.17503
Leu-comp-therm-case-1-5r,0.48034,0.00024,89.52,5.11,5.38,10.48,163330.0,0.13771
