File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
pu-sol-therm-028-006,1.00851,0.0001,96.57,3.05,0.38,3.43,7139.5,0.056349
pu-sol-therm-022-009,0.99702,0.0001,97.05,2.62,0.33,2.95,6422.2,0.050239
pu-sol-therm-034-012,0.97668,0.00011,63.22,31.46,5.32,36.78,100210,2.0297
pu-sol-therm-005-009,0.9976,0.00085,96.99,2.68,0.33,3.01,6369.5,0.052263
pu-sol-therm-018-008,1.00539,0.0001,96.01,3.47,0.52,3.99,10783,0.055416
pu-sol-therm-005-007,1.00753,0.00083,96.07,3.48,0.45,3.93,8497.9,0.060836
pu-sol-therm-011-184,0.96974,0.00011,97.29,2.41,0.3,2.71,5738.9,0.049892
pu-sol-therm-010-013,1.01343,0.00011,96.75,2.89,0.37,3.25,6972.8,0.054452
pu-sol-therm-018-007,1.00746,0.00011,95.29,4.09,0.62,4.71,12855,0.061372
pu-sol-therm-018-004,1.01629,0.00012,93,6.06,0.94,7,19438,0.082911
pu-sol-therm-010-003,1.01742,0.00012,95.61,3.88,0.51,4.39,9781.1,0.064844
pu-sol-therm-007-002,1.03912,0.00013,85.06,12.87,2.07,14.94,39241,0.2205
pu-sol-therm-001-001,1.02058,0.00084,94.56,4.78,0.66,5.44,12923,0.075365
pu-sol-therm-034-002,1.0048,0.00012,89.6,9.11,1.28,10.4,24638,0.14679
pu-sol-therm-018-001,1.02356,0.00012,88.4,10,1.6,11.6,32895,0.14139
pu-sol-therm-004-003,0.99142,0.00072,97.28,2.43,0.29,2.72,5355.3,0.049768
pu-sol-therm-022-008,0.99915,0.0001,96.89,2.77,0.35,3.11,6782.6,0.051504
pu-sol-therm-002-001,1.00986,0.00084,95.85,3.68,0.47,4.15,9005.4,0.062642
pu-sol-therm-010-006,1.01318,0.00012,96.04,3.51,0.46,3.96,8681.6,0.060839
pu-sol-therm-034-007,0.99374,0.00012,67.56,27.63,4.81,32.44,90473,1.2881
pu-sol-therm-032-017,1.00786,0.00011,96.86,2.79,0.36,3.14,6900.2,0.053129
pu-sol-therm-032-012,0.99203,0.0001,97.43,2.29,0.28,2.57,5439,0.048384
pu-sol-therm-010-014,1.00382,0.00011,97.09,2.59,0.32,2.91,6173,0.051494
